Province,Country,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,,,,,,,,,,,,,,,,
,Bolivia,237706,238495,239524,240676,241771,242292,243176,244380,245719,246822,247891,248547,249010,249767,250557,251391,252360,253297,253950,254273,254736,255621,256462,257240,258324,259004,259389,260059,789,1029,1152,1095,521,884,1204,1339,1103,1069,656,463,757,790,834,969,937,653,323,463,885,841,778,1084,680,385,670,,,,,,,,,,,,,,,,
,Bosnia and Herzegovina,126413,126781,127135,127537,127537,127537,128661,129176,129753,130510,130979,130979,130979,130979,133088,133982,134892,135513,135513,135513,137291,138542,139652,140990,142160,142160,142160,144831,368,354,402,0,0,1124,515,577,757,469,0,0,0,2109,894,910,621,0,0,1778,1251,1110,1338,1170,0,0,2671,,,,,,,,,,,,,,,,
,Botswana,25802,25802,26524,26524,26524,26524,27721,27721,27721,28371,28371,28371,28371,30727,30727,30727,31746,31746,31746,31746,32912,32912,32912,34098,34098,34098,34098,34999,0,722,0,0,0,1197,0,0,650,0,0,0,2356,0,0,1019,0,0,0,1166,0,0,1186,0,0,0,901,,,,,,,,,,,,,,,,
,Brazil,9921981,9978747,10030626,10084208,10139148,10168174,10195160,10257875,10324463,10390461,10455630,10517232,10551259,10587001,10646926,10718630,10793732,10869227,10938836,11019344,11051665,11122429,11202305,11277717,11363380,11439558,11483370,11519609,56766,51879,53582,54940,29026,26986,62715,66588,65998,65169,61602,34027,35742,59925,71704,75102,75495,69609,80508,32321,70764,79876,75412,85663,76178,43812,36239,,,,,,,,,,,,,,,,
,Brunei,184,185,185,185,185,185,185,185,185,185,185,186,186,186,187,187,188,188,189,189,190,191,192,192,192,192,199,199,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,7,0,,,,,,,,,,,,,,,,
,Bulgaria,232096,233342,234428,235891,236439,236666,238591,240391,242124,243946,245627,246706,247038,249626,252029,253183,255381,258385,259811,260308,263303,266805,269579,272700,275859,277878,278557,283194,1246,1086,1463,548,227,1925,1800,1733,1822,1681,1079,332,2588,2403,1154,2198,3004,1426,497,2995,3502,2774,3121,3159,2019,679,4637,,,,,,,,,,,,,,,,
,Burkina Faso,11630,11672,11703,11763,11783,11797,11847,11868,11887,11914,11939,11982,11982,12030,12047,12071,12103,12123,12153,12181,12181,12187,12230,12275,12305,12350,12372,12378,42,31,60,20,14,50,21,19,27,25,43,0,48,17,24,32,20,30,28,0,6,43,45,30,45,22,6,,,,,,,,,,,,,,,,
,Burma,141659,141690,141709,141728,141735,141750,141761,141783,141816,141841,141875,141890,141896,141916,141965,141984,142000,142000,142023,142034,142045,142059,142073,142114,142122,142136,142147,142147,31,19,19,7,15,11,22,33,25,34,15,6,20,49,19,16,0,23,11,11,14,14,41,8,14,11,0,,,,,,,,,,,,,,,,
,Burundi,1855,1895,1928,1955,1983,2031,2034,2041,2069,2106,2143,2181,2209,2217,2224,2240,2268,2283,2299,2319,2334,2339,2369,2396,2420,2441,2461,2461,40,33,27,28,48,3,7,28,37,37,38,28,8,7,16,28,15,16,20,15,5,30,27,24,21,20,0,,,,,,,,,,,,,,,,
,Cabo Verde,14785,14848,14885,14948,14999,15048,15072,15089,15161,15201,15253,15324,15400,15432,15483,15558,15621,15683,15724,15782,15806,15826,15892,15932,15986,16035,16101,16120,63,37,63,51,49,24,17,72,40,52,71,76,32,51,75,63,62,41,58,24,20,66,40,54,49,66,19,,,,,,,,,,,,,,,,
,Cambodia,479,483,484,484,533,568,593,633,697,741,767,805,820,844,878,909,932,953,987,1011,1011,1124,1163,1225,1264,1305,1325,1325,4,1,0,49,35,25,40,64,44,26,38,15,24,34,31,23,21,34,24,0,113,39,62,39,41,20,0,,,,,,,,,,,,,,,,
,Cameroon,32098,32098,33749,33749,33749,33749,33749,33749,33749,35714,35714,35714,35714,35714,35714,35714,35714,35714,35714,35714,36794,36794,36794,40622,40622,40622,40622,40622,0,1651,0,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,0,0,1080,0,0,3828,0,0,0,0,,,,,,,,,,,,,,,,
Alberta,Canada,129338,129615,130030,130355,130735,131063,131336,131603,132033,132432,132788,133203,133504,133795,134052,134454,134785,135196,135537,135837,136119,136374,136773,137137,137562,138036,138424,138788,277,415,325,380,328,273,267,430,399,356,415,301,291,257,402,331,411,341,300,282,255,399,364,425,474,388,364,,,,,,,,,,,,,,,,
British Columbia,Canada,74283,74710,75327,75835,75835,75835,77263,77822,78278,78673,79194,79194,79194,80672,81367,81909,82473,83107,83107,83107,84569,85119,85650,86219,86867,86867,86867,88373,427,617,508,0,0,1428,559,456,395,521,0,0,1478,695,542,564,634,0,0,1462,550,531,569,648,0,0,1506,,,,,,,,,,,,,,,,
Diamond Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Grand Princess,Canada,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Manitoba,Canada,30932,31007,31145,31235,31329,31386,31483,31551,31590,31657,31721,31809,31859,31894,31950,32000,32051,32104,32170,32225,32288,32350,32421,32509,32607,32699,32743,32793,75,138,90,94,57,97,68,39,67,64,88,50,35,56,50,51,53,66,55,63,62,71,88,98,92,44,50,,,,,,,,,,,,,,,,
New Brunswick,Canada,1404,1407,1411,1417,1420,1424,1424,1424,1426,1427,1428,1430,1430,1431,1435,1438,1443,1447,1453,1455,1460,1460,1460,1462,1465,1465,1470,1471,3,4,6,3,4,0,0,2,1,1,2,0,1,4,3,5,4,6,2,5,0,0,2,3,0,5,1,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Canada,711,755,803,863,901,926,940,955,963,973,977,981,988,989,994,997,1002,1003,1005,1006,1009,1010,1010,1011,1012,1012,1012,1012,44,48,60,38,25,14,15,8,10,4,4,7,1,5,3,5,1,2,1,3,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,
Northwest Territories,Canada,43,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Nova Scotia,Canada,1597,1600,1602,1604,1608,1609,1610,1613,1616,1624,1634,1638,1641,1642,1643,1646,1649,1651,1657,1659,1659,1664,1665,1665,1666,1670,1670,1670,3,2,2,4,1,1,3,3,8,10,4,3,1,1,3,3,2,6,2,0,5,1,0,1,4,0,0,,,,,,,,,,,,,,,,
Nunavut,Canada,323,324,330,332,338,339,351,351,351,355,356,356,357,358,359,359,369,373,377,381,381,381,381,381,381,383,383,383,1,6,2,6,1,12,0,0,4,1,0,1,1,1,0,10,4,4,4,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,
Ontario,Canada,292735,293538,294697,295841,297011,298154,298800,300235,301379,302573,303815,304962,306057,307176,308091,309022,310165,311013,312447,313908,315460,316751,317905,319084,320494,322024,323526,324715,803,1159,1144,1170,1143,646,1435,1144,1194,1242,1147,1095,1119,915,931,1143,848,1434,1461,1552,1291,1154,1179,1410,1530,1502,1189,,,,,,,,,,,,,,,,
Prince Edward Island,Canada,114,114,114,114,114,114,114,115,115,115,120,120,132,132,136,136,136,136,136,136,141,143,143,143,143,143,143,143,0,0,0,0,0,0,1,0,0,5,0,12,0,4,0,0,0,0,0,5,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Quebec,Canada,278187,278987,279887,280687,281456,282122,282927,283666,284472,285330,286145,287003,287740,288353,288941,289670,290377,291175,291924,292631,293210,293860,294652,295390,296143,296918,297592,298186,800,900,800,769,666,805,739,806,858,815,858,737,613,588,729,707,798,749,707,579,650,792,738,753,775,674,594,,,,,,,,,,,,,,,,
Repatriated Travellers,Canada,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Saskatchewan,Canada,26829,26953,27099,27245,27438,27620,27797,27923,27980,28191,28344,28506,28647,28801,28938,29059,29220,29432,29593,29709,29806,29918,30029,30193,30369,30522,30620,30727,124,146,146,193,182,177,126,57,211,153,162,141,154,137,121,161,212,161,116,97,112,111,164,176,153,98,107,,,,,,,,,,,,,,,,
Yukon,Canada,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,Central African Republic,4996,4997,4997,5001,5001,5001,5001,5001,5004,5004,5004,5004,5004,5004,5004,5004,5018,5018,5018,5021,5021,5023,5023,5023,5023,5023,5023,5023,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,3,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
